vendor_id,amt,amt_deviation,duplicate_entry,new_vendor,missing_po,entered_after_hrs,manual_entry,unusual_accts,desc_quality,anomalous
V01,7014.70,high,yes,no,no,no,yes,no,normal,yes
V18,71.34,low,no,no,no,no,no,no,normal,no
V05,1759.73,low,no,no,no,no,no,no,normal,no
V14,281.29,low,no,no,no,no,no,no,normal,no
V05,4193.29,low,no,no,no,yes,no,no,normal,yes
V18,163.17,low,no,no,no,no,no,no,normal,no
V03,94.40,low,no,no,no,no,no,no,normal,no
V10,40.83,low,no,no,no,no,no,no,normal,no
V03,8755.04,high,no,no,no,no,no,no,normal,no
V03,230.10,low,no,no,no,no,no,no,high,no
V19,6205.34,high,no,no,no,no,yes,no,normal,no
V03,127.70,low,no,no,no,no,no,no,low,no
V01,187.88,low,no,no,no,no,no,no,normal,no
V08,643.12,low,no,no,no,no,no,no,high,no
V10,472.86,low,no,no,no,no,no,no,normal,no
V06,3915.45,low,no,no,no,no,no,no,high,no
V20,5024.83,high,no,no,no,no,no,no,high,no
V08,4900.68,high,no,no,no,no,no,no,high,no
V13,184.60,low,no,no,yes,no,no,no,normal,no
V18,7249.57,high,no,no,yes,no,yes,yes,low,yes
V01,239.00,low,no,no,yes,no,yes,no,normal,no
V15,118.75,low,no,no,no,no,no,no,normal,no
V11,1233.13,low,no,no,yes,no,no,no,low,no
V04,7977.03,high,no,no,no,yes,no,no,normal,no
V14,216.26,low,no,no,no,no,no,no,high,no
V10,193.55,low,no,no,no,no,no,no,high,no
V15,3951.32,low,no,no,no,no,no,no,normal,no
V18,166.61,low,no,no,no,no,no,no,normal,no
V17,5201.58,high,no,no,no,no,yes,yes,normal,no
V01,16418.90,outlier,no,no,no,no,no,no,normal,no
V04,98.41,low,no,no,no,no,no,no,normal,no
V04,239.35,low,no,no,no,no,no,no,low,no
V09,5327.80,high,no,no,no,no,no,no,high,no
V03,2022.75,low,no,no,no,no,no,no,normal,no
V07,2092.89,low,no,no,no,no,no,no,normal,no
V16,2377.40,low,no,no,no,no,no,no,normal,no
V04,376.69,low,no,no,no,no,no,no,high,no
V08,1031.50,low,no,no,no,no,no,no,high,no
V10,5705.63,high,no,no,no,no,no,no,low,no
V07,226.13,low,no,no,no,no,no,no,normal,no
V17,63.52,low,no,no,yes,no,no,no,normal,no
V05,171.83,low,no,no,no,no,no,no,normal,no
V06,9068.78,outlier,no,no,no,no,yes,no,normal,no
V13,71.06,low,no,no,no,no,no,no,normal,no
V08,3344.76,low,no,no,no,no,no,no,normal,no
V15,185.18,low,yes,no,no,yes,yes,yes,normal,no
V08,3724.17,low,no,no,no,yes,no,no,normal,no
V02,127.98,low,no,no,no,no,no,no,low,no
V20,137.15,low,no,no,no,no,no,no,low,no
V07,133.12,low,no,no,no,no,no,no,normal,no
V01,750.00,low,no,yes,no,no,no,no,normal,no
V10,7539.81,high,no,no,no,no,no,no,low,no
V13,218.92,low,no,no,no,no,no,no,normal,no
V02,91.27,low,no,no,no,no,no,no,normal,no
V09,197.86,low,no,no,no,no,no,no,normal,no
V18,119.64,low,no,no,no,no,no,no,normal,no
V18,104.84,low,no,no,yes,no,no,no,normal,no
V10,6038.77,high,no,no,no,no,no,no,normal,no
V13,282.39,low,no,no,no,no,no,no,normal,no
V09,4174.99,low,no,no,no,no,no,no,normal,no
V07,357.65,low,no,no,no,no,no,no,normal,no
V18,179.99,low,no,no,no,no,no,no,normal,no
V05,398.61,low,no,no,no,no,no,no,normal,no
V02,5081.46,high,no,no,no,no,no,no,high,no
V05,27.69,low,no,no,yes,no,no,no,normal,no
V03,189.31,low,no,no,no,no,no,no,normal,no
V08,2525.06,low,no,no,no,no,no,no,normal,no
V14,1683.67,low,no,yes,no,no,no,no,normal,no
V12,802.82,low,no,no,yes,no,no,no,normal,no
V02,123.10,low,no,no,no,no,no,no,normal,no
V08,158.93,low,no,no,no,no,no,no,normal,no
V02,186.38,low,no,no,no,no,no,no,normal,no
V14,17970.77,outlier,no,no,no,no,no,no,high,no
V06,6731.60,high,no,no,no,no,no,no,normal,no
V05,190.45,low,no,no,no,no,no,no,normal,no
V09,4071.70,low,no,no,no,no,no,no,high,no
V03,7329.64,high,no,yes,no,no,no,no,normal,no
V10,132.87,low,no,no,no,yes,no,no,normal,no
V12,52896.67,outlier,no,no,no,no,no,no,normal,no
V09,3061.11,low,no,no,no,no,no,no,normal,no
V09,1153.46,low,no,no,no,no,no,no,normal,no
V08,1799.04,low,no,no,no,no,no,no,high,no
V05,3602.62,low,no,no,no,yes,no,no,low,yes
V10,5189.57,high,no,no,no,no,no,no,high,no
V10,4722.26,low,no,no,no,no,yes,no,normal,no
V05,61.63,low,no,no,no,no,no,no,high,no
V08,36.10,low,no,no,no,no,no,no,normal,no
V13,3950.81,low,no,no,no,no,no,no,normal,no
V01,158.18,low,no,no,no,no,no,no,normal,no
V02,270.60,low,no,no,no,no,no,no,normal,no
V18,10978.24,outlier,no,no,no,no,no,no,normal,no
V05,135.13,low,no,no,no,no,no,no,high,no
V01,1768.60,low,no,yes,no,no,no,no,normal,no
V12,26948.73,outlier,no,no,no,no,yes,yes,normal,no
V01,2186.96,low,no,no,yes,no,yes,yes,low,yes
V04,168.61,low,no,no,no,no,no,no,normal,no
V12,153.49,low,no,no,no,no,no,no,low,no
V19,1518.21,low,no,no,no,no,no,no,normal,no
V12,101.86,low,no,no,no,no,no,no,high,no
V05,3419.98,low,no,no,no,no,no,no,high,no
V02,80.72,low,no,no,no,no,no,no,normal,no
V13,1200.80,low,no,no,no,no,no,no,normal,no
V06,143.89,low,no,no,no,no,no,no,normal,no
V10,22418.43,outlier,no,no,no,no,no,no,normal,no
V16,4772.70,high,no,no,no,no,no,no,normal,no
V01,214.35,low,no,no,no,no,no,yes,normal,no
V01,2822.55,low,no,no,no,no,no,no,normal,no
V05,4749.41,high,no,no,no,no,no,no,low,no
V10,6330.17,high,no,yes,no,no,no,yes,normal,no
V14,2507.95,low,no,no,no,no,no,no,low,no
V08,5921.51,high,no,no,yes,no,no,no,normal,no
V07,13017.03,outlier,no,no,no,no,no,no,normal,no
V07,170.90,low,no,no,no,no,yes,no,normal,no
V04,81.18,low,no,no,no,no,no,no,normal,no
V01,280.65,low,no,yes,no,no,no,no,normal,no
V05,57.78,low,no,no,no,no,yes,no,low,no
V01,4032.55,low,no,no,no,no,no,no,normal,no
V08,381.99,low,no,no,no,no,no,no,high,no
V01,229.12,low,no,no,no,yes,no,no,normal,no
V18,170.43,low,no,no,no,no,no,no,normal,no
V10,211.86,low,no,no,no,no,no,no,high,no
V01,113.87,low,no,no,no,no,no,no,high,no
V09,272.71,low,no,no,no,no,no,no,high,no
V06,227.92,low,no,no,no,no,no,no,normal,no
V01,222.91,low,no,no,no,no,no,no,normal,no
V18,154.77,low,no,no,no,no,no,no,low,no
V02,197.61,low,no,no,yes,no,yes,yes,normal,no
V20,231.70,low,no,no,no,no,no,no,normal,no
V05,4552.52,high,no,no,no,no,no,no,normal,no
V10,18513.89,outlier,yes,no,yes,yes,yes,no,normal,yes
V01,2702.84,low,no,no,no,no,no,no,high,no
V17,256.54,low,no,no,no,no,no,no,normal,no
V09,254.25,low,no,no,no,no,no,no,high,no
V08,7754.82,high,no,no,no,no,no,no,normal,no
V13,1985.03,low,no,no,no,no,no,no,normal,no
V12,264.25,low,no,yes,no,no,no,no,normal,no
V04,451.44,low,no,no,no,no,no,no,normal,no
V04,88.05,low,no,no,no,no,no,no,normal,no
V05,253.72,low,no,no,no,no,no,yes,normal,no
V11,194.45,low,no,no,no,no,no,no,high,no
V14,189.89,low,no,no,no,no,no,no,low,no
V02,97.99,low,no,no,no,no,no,no,high,no
V07,3053.98,low,no,yes,no,no,no,no,normal,no
V02,191.06,low,no,no,no,no,no,no,normal,no
V02,324.88,low,no,no,no,no,no,no,low,no
V02,246.94,low,no,no,no,no,yes,no,high,no
V01,186.51,low,no,no,no,no,no,no,normal,no
V08,2487.13,low,no,no,no,no,no,no,normal,no
V14,295.93,low,no,no,no,no,no,no,high,no
V02,4285.53,low,no,no,no,no,no,no,normal,no
V10,1827.78,low,no,no,no,no,no,no,low,no
V05,8418.01,high,no,no,no,no,no,no,high,no
V06,3881.32,low,no,yes,no,yes,yes,no,normal,no
V03,2139.61,low,no,no,no,no,no,no,normal,no
V10,6569.63,high,no,no,no,no,yes,no,normal,no
V01,139.64,low,no,no,no,no,no,no,normal,no
V02,3508.86,low,no,no,no,no,no,no,normal,no
V17,479.62,low,no,no,no,no,no,no,low,no
V07,189.32,low,no,no,no,no,no,no,normal,no
V09,1737.99,low,no,no,no,no,no,no,low,no
V15,4407.24,low,no,no,no,no,yes,no,normal,no
V01,169.46,low,no,no,no,no,no,no,normal,no
V03,4650.02,low,no,no,no,no,no,no,normal,no
V08,3015.85,low,no,no,no,no,no,no,normal,no
V15,147.74,low,no,no,no,no,no,no,normal,no
V02,1859.99,low,no,no,no,no,no,no,normal,no
V03,163.16,low,no,no,no,no,no,no,normal,no
V16,3142.32,low,no,no,no,no,no,no,high,no
V03,2495.00,low,no,no,no,no,yes,no,low,yes
V02,1788.38,low,yes,no,no,no,no,no,normal,no
V01,7640.79,high,no,no,no,no,no,no,normal,no
V10,263.10,low,no,no,no,no,no,no,high,no
V04,1565.34,low,no,no,no,no,no,no,high,no
V01,84.36,low,no,no,no,no,no,no,normal,no
V19,136.06,low,no,no,no,no,no,no,normal,no
V06,204.92,low,no,no,no,no,no,no,high,no
V01,243.42,low,no,no,no,no,yes,yes,normal,no
V04,280.05,low,no,no,yes,no,no,no,normal,no
V09,81.87,low,no,no,no,no,no,no,normal,no
V03,10303.83,outlier,no,no,no,no,no,no,normal,no
V02,8000.00,high,no,no,no,no,yes,no,low,no
V04,65.92,low,no,no,no,no,no,yes,high,no
V08,118.02,low,no,no,yes,no,no,no,normal,no
V11,181.39,low,no,no,no,no,no,no,normal,no
V15,346.94,low,no,no,no,no,no,no,high,no
V09,290.49,low,no,no,no,no,no,no,normal,no
V03,1998.77,low,no,no,no,no,no,no,low,no
V03,250.21,low,no,no,no,no,no,no,normal,no
V04,298.22,low,no,no,no,yes,no,no,high,no
V08,267.80,low,no,no,no,no,yes,no,high,no
V03,151.83,low,no,no,no,no,no,no,normal,no
V04,26.98,low,no,no,no,no,no,no,high,no
V05,2801.71,low,no,yes,yes,no,yes,no,low,no
V08,277.64,low,no,no,no,yes,no,no,normal,no
V13,2902.85,low,yes,yes,yes,no,no,no,high,yes
V10,121.88,low,no,no,no,no,no,no,normal,no
V01,390.93,low,no,no,no,no,no,no,high,no
V01,210.94,low,no,yes,no,no,no,no,normal,no
V06,126.47,low,no,no,no,no,no,no,high,no
V01,328.02,low,no,no,no,no,no,no,high,no
V05,9702.27,outlier,no,no,yes,no,no,yes,normal,no
V01,325.65,low,no,no,no,no,no,no,normal,no
V17,2767.65,low,no,no,no,no,no,no,normal,no
V01,193.42,low,no,no,no,no,no,no,normal,no
V02,6881.42,high,no,yes,no,no,no,no,normal,no
V07,373.83,low,no,no,no,no,no,no,normal,no
V03,2286.19,low,no,no,no,no,yes,no,normal,no
V09,108.03,low,no,no,no,no,no,no,low,no
V16,7112.79,high,no,no,no,no,no,no,normal,no
V14,164.40,low,no,no,no,no,yes,no,normal,no
V06,540.51,low,no,no,no,no,no,no,normal,no
V02,404.58,low,no,no,no,no,yes,yes,normal,no
V08,122.07,low,no,no,yes,no,no,no,normal,no
V06,171.96,low,no,no,no,yes,yes,no,normal,no
V07,260.22,low,no,no,no,no,no,no,normal,no
V02,2229.64,low,no,yes,no,no,no,no,normal,no
V01,316.01,low,no,no,no,no,no,no,low,no
V06,2108.15,low,no,no,no,no,yes,no,low,no
V03,69.33,low,no,no,no,no,no,no,normal,no
V12,250.38,low,no,no,yes,no,no,no,high,no
V01,2398.70,low,no,no,no,no,no,no,normal,no
V12,6028.21,high,no,yes,no,no,no,no,high,no
V16,440.00,low,no,no,no,no,no,no,high,no
V02,158.38,low,no,no,no,no,no,no,normal,no
V07,8816.81,high,no,no,no,no,no,no,high,no
V09,2015.62,low,no,no,no,no,no,no,normal,no
V05,338.70,low,no,no,no,no,no,no,high,no
V16,123.04,low,no,no,no,no,no,no,normal,no
V04,172.76,low,no,no,no,no,no,no,normal,no
V01,3241.06,low,no,no,no,no,no,no,low,no
V12,328.19,low,no,no,no,no,no,no,high,no
V02,116.09,low,no,no,no,yes,yes,no,low,no
V15,9004.70,high,no,no,no,no,yes,no,low,yes
V08,506.40,low,no,no,no,yes,yes,no,low,no
V06,457.64,low,no,no,no,no,yes,no,low,no
V06,3528.72,low,yes,no,no,no,no,no,normal,no
V10,121.17,low,no,no,no,no,no,no,high,no
V01,3498.09,low,no,no,no,no,no,no,normal,no
V09,2581.48,low,no,no,no,no,no,no,low,no
V17,6014.28,high,no,no,no,no,no,no,high,no
V04,215.71,low,no,no,no,yes,no,no,normal,no
V01,353.64,low,no,no,no,no,no,no,high,no
V09,289.28,low,no,no,no,no,no,no,normal,no
V15,4795.10,high,no,no,no,no,no,no,high,no
V03,484.09,low,no,no,no,no,no,no,normal,no
V02,578.83,low,no,no,no,no,no,no,normal,no
V06,163.57,low,no,no,no,no,no,no,normal,no
V06,8000.00,high,no,no,no,no,no,no,normal,no
V12,3381.95,low,no,no,no,no,no,no,normal,no
V17,409.76,low,no,no,no,no,no,no,high,no
V08,15350.59,outlier,no,no,no,no,no,no,normal,no
V15,313.44,low,no,no,no,no,no,no,normal,no
V03,5482.72,high,no,no,no,no,no,no,normal,no
V14,2312.46,low,no,no,no,no,no,no,normal,no
V06,182.31,low,no,no,no,no,no,no,low,no
V14,264.13,low,no,no,yes,no,no,no,normal,no
V11,559.41,low,no,no,no,no,no,no,normal,no
V10,188.23,low,no,no,no,no,no,no,normal,no
V02,104.09,low,no,no,no,no,no,no,normal,no
V03,6513.39,high,no,no,no,no,no,no,normal,no
V07,8019.06,high,no,no,no,no,no,no,high,no
V03,152.97,low,no,no,no,no,no,no,low,no
V01,119.28,low,no,no,no,no,no,no,normal,no
V01,8000.00,high,no,no,no,no,no,no,normal,no
V04,127.13,low,no,no,no,no,no,no,normal,no
V01,4341.93,low,no,no,no,no,yes,no,low,no
V18,3229.51,low,no,no,no,no,no,no,normal,no
V10,117.20,low,no,no,no,no,no,no,normal,no
V01,127.82,low,no,yes,no,no,no,no,high,no
V08,1377.82,low,no,no,no,no,no,no,normal,no
V20,204.21,low,no,no,no,no,no,no,low,no
V04,3100.75,low,no,no,yes,yes,no,no,normal,no
V06,194.96,low,no,no,no,no,no,yes,normal,no
V02,8570.28,high,yes,no,yes,yes,yes,no,normal,yes
V02,15982.01,outlier,no,no,no,no,no,no,normal,no
V15,617.86,low,no,no,yes,no,yes,no,normal,no
V01,323.60,low,no,no,no,no,no,no,high,no
V04,56.59,low,no,yes,no,no,no,no,normal,no
V03,7107.81,high,no,no,no,no,no,no,high,no
V12,165.19,low,no,no,no,no,no,no,normal,no
V06,2269.40,low,no,no,no,no,no,no,normal,no
V06,141.21,low,no,no,no,no,no,yes,high,no
V03,10362.38,outlier,no,no,no,no,no,no,normal,no
V04,2195.08,low,no,no,no,no,no,no,normal,no
V01,8000.00,high,no,no,no,no,no,no,normal,no
V05,1613.31,low,no,no,no,no,no,no,normal,no
V08,78.14,low,no,no,no,no,no,no,normal,no
V02,209.14,low,no,no,yes,no,yes,no,low,no
V13,2669.60,low,no,no,no,no,no,yes,normal,no
V07,271.28,low,yes,no,no,no,no,no,normal,no
V03,77.72,low,no,no,no,no,no,no,high,no
V02,367.40,low,no,no,no,no,no,no,high,no
V19,330.33,low,no,no,no,no,no,no,high,no
V04,108.24,low,no,no,no,no,no,no,normal,no
V07,100.04,low,no,no,no,no,no,no,normal,no
V03,2829.59,low,no,no,yes,no,no,no,normal,no
V05,3614.15,low,no,no,no,no,no,no,high,no
V04,5167.98,high,no,no,no,no,no,no,high,no
V07,676.50,low,no,no,no,yes,yes,yes,low,no
V12,190.16,low,no,no,no,no,no,yes,normal,no
V16,198.49,low,no,no,no,no,no,no,normal,no
V01,147.13,low,no,no,no,no,no,no,normal,no
V04,98.12,low,no,no,no,no,no,no,normal,no
V10,203.14,low,no,no,no,no,no,no,normal,no
V04,247.78,low,no,no,no,no,no,no,high,no
V04,165.69,low,no,no,no,no,no,no,normal,no
V03,5711.02,high,no,no,no,no,no,no,normal,no
V17,4952.11,high,no,no,no,no,no,no,normal,no
V04,311.09,low,no,no,no,no,no,no,high,no
V05,8587.17,high,no,no,no,no,no,no,low,no
V04,178.99,low,no,no,no,no,no,no,low,no
V01,287.28,low,no,no,no,no,no,no,normal,no
V06,55.44,low,no,no,no,no,no,no,normal,no
V17,279.21,low,no,no,no,no,no,no,normal,no
V05,148.72,low,no,no,no,no,no,no,low,no
V05,73.14,low,no,no,no,no,no,no,normal,no
V06,204.97,low,no,no,no,no,no,no,normal,no
V02,116.43,low,no,no,no,no,no,no,normal,no
V15,1329.52,low,no,no,no,no,no,yes,normal,no
V12,7110.32,high,no,no,no,no,no,no,normal,no
V05,7375.13,high,no,no,no,no,yes,no,high,no
V02,21357.33,outlier,yes,no,no,no,no,yes,low,yes
V06,327.36,low,no,no,no,no,no,no,normal,no
V15,227.43,low,no,no,no,no,no,no,normal,no
V16,107.00,low,no,no,no,no,yes,no,normal,no
V11,15596.27,outlier,no,no,yes,yes,no,no,normal,yes
V05,3288.88,low,no,no,no,no,no,no,normal,no
V08,23274.60,outlier,no,no,no,yes,yes,no,normal,no
V01,2381.73,low,no,no,yes,no,no,no,normal,no
V04,6922.99,high,no,no,no,no,no,no,normal,no
V07,5874.85,high,no,no,no,no,yes,no,low,no
V01,1113.39,low,no,no,no,no,no,no,high,no
V16,194.69,low,no,no,no,no,no,no,normal,no
V08,172.42,low,no,no,no,yes,no,no,normal,no
V14,217.83,low,no,no,no,no,no,no,normal,no
V06,112.86,low,no,no,no,no,no,no,normal,no
V10,3756.68,low,no,yes,no,no,no,no,normal,no
V08,234.98,low,no,no,yes,no,no,no,normal,no
V02,76.77,low,no,yes,no,yes,yes,no,normal,no
V16,8500.95,high,yes,no,yes,no,yes,no,low,yes
V05,115.77,low,no,no,no,no,no,no,normal,no
V04,5475.80,high,no,yes,no,no,no,no,normal,no
V11,15473.30,outlier,yes,no,no,no,no,no,normal,yes
V10,4364.75,low,no,no,no,no,no,no,high,no
V01,4002.31,low,no,no,no,no,no,no,normal,no
V05,427.59,low,no,no,no,no,no,no,high,no
V05,85000.00,outlier,no,no,no,no,no,no,normal,no
V14,85.89,low,no,no,no,yes,no,no,high,no
V20,12968.78,outlier,no,no,no,no,no,no,normal,no
V06,3181.01,low,no,no,no,yes,yes,no,normal,no
V02,2238.22,low,no,no,no,no,yes,no,low,no
V04,262.87,low,no,no,no,no,no,no,normal,no
V12,2321.35,low,no,no,no,no,no,no,normal,no
V02,93.72,low,no,no,no,no,yes,no,normal,no
V06,221.72,low,no,no,no,no,no,no,high,no
V04,162.35,low,no,no,no,no,no,no,high,no
V06,5768.78,high,no,no,yes,no,yes,no,low,no
V05,136.42,low,no,no,no,no,no,no,normal,no
V03,172.48,low,no,yes,no,no,no,no,low,no
V01,1471.79,low,no,no,no,no,no,no,low,no
V05,74.61,low,no,no,no,no,no,no,normal,no
V01,3710.11,low,no,yes,no,no,no,yes,low,no
V11,80.80,low,no,no,no,no,no,no,high,no
V12,166.35,low,no,no,no,no,no,no,normal,no
V11,2096.56,low,no,no,no,no,no,yes,low,no
V01,7140.31,high,no,no,no,no,no,yes,normal,no
V01,2618.34,low,no,no,no,no,yes,yes,normal,no
V04,52.87,low,no,yes,no,no,no,yes,low,no
V08,4822.93,high,no,no,no,no,no,no,high,no
V06,4093.61,low,no,no,no,yes,yes,no,normal,yes
V01,165.14,low,no,yes,no,no,no,no,high,no
V20,1043.59,low,no,no,no,no,no,no,normal,no
V04,226.16,low,no,no,no,no,no,no,high,no
V08,90.91,low,no,no,no,no,no,no,high,no
V05,34055.79,outlier,no,no,no,no,no,no,high,no
V01,6083.14,high,no,no,no,no,no,no,normal,no
V03,267.13,low,no,no,no,no,no,no,normal,no
V12,258.88,low,no,yes,no,no,no,no,normal,no
V08,432.65,low,no,no,no,no,no,no,normal,no
V09,2666.02,low,no,no,no,no,no,no,normal,no
V01,586.55,low,no,no,no,no,no,no,normal,no
V06,4316.69,high,no,no,no,no,no,no,normal,no
V15,238.89,low,no,no,no,no,no,no,low,no
V11,164.80,low,no,no,no,no,no,no,normal,no
V05,242.88,low,no,no,no,no,no,no,normal,no
V05,3280.97,low,no,no,yes,no,no,no,normal,no
V06,118.50,low,no,no,no,no,no,no,normal,no
V15,2300.83,low,no,no,no,no,yes,no,normal,no
V03,231.54,low,no,no,no,no,no,no,high,no
V10,173.01,low,no,no,no,no,no,no,normal,no
V03,44.18,low,no,no,yes,no,no,no,normal,no
V01,137.77,low,no,no,no,no,no,no,normal,no
V13,185.64,low,no,no,no,no,no,no,high,no
V07,4996.54,high,no,no,no,no,no,no,normal,no
V05,2558.66,low,no,no,no,no,no,no,normal,no
V01,201.09,low,no,no,no,no,no,no,normal,no
V05,254.18,low,yes,yes,no,yes,no,no,high,no
V05,97.72,low,no,no,no,yes,no,no,normal,no
V14,454.11,low,no,no,no,no,no,no,high,no
V05,290.06,low,no,no,no,yes,no,no,normal,no
V12,175.03,low,no,no,yes,no,no,no,normal,no
V08,260.53,low,no,no,no,yes,no,no,normal,no
V09,577.95,low,no,no,no,no,no,no,normal,no
V14,162.40,low,no,no,no,no,no,no,normal,no
V04,233.94,low,no,no,no,no,no,no,high,no
V04,745.58,low,no,no,no,no,no,no,normal,no
V08,69.22,low,no,no,no,no,yes,no,normal,no
V05,330.61,low,no,no,no,no,no,no,high,no
V02,133.33,low,no,no,no,no,yes,no,normal,no
V08,28751.91,outlier,no,no,yes,no,no,no,low,no
V01,77.95,low,no,no,no,no,no,no,normal,no
V03,1900.92,low,no,no,no,yes,no,no,high,no
V02,598.41,low,no,no,no,no,no,no,normal,no
V03,5269.08,high,no,no,no,no,no,no,normal,no
V07,150.78,low,no,no,no,no,no,no,normal,no
V15,153.07,low,no,yes,no,no,no,no,normal,no
V10,189.51,low,no,no,no,no,no,no,normal,no
V03,1967.86,low,no,no,no,no,yes,no,normal,no
V02,2842.02,low,no,no,no,no,no,no,normal,no
V06,2628.67,low,no,no,no,no,no,no,normal,no
V09,82.52,low,no,no,no,no,no,no,high,no
V05,6327.36,high,no,no,yes,no,no,no,normal,no
V17,245.00,low,no,yes,no,no,no,no,high,no
V02,157.00,low,no,no,no,no,no,no,normal,no
V17,3853.29,low,no,no,no,no,no,no,normal,no
